# Skill names mined from the corpus (issue #40), written by scripts/taxonomy_mine.py.
# Corpus: the 26587 IN descriptions of the development database, newest vacancy update 2026-09-20.
# Left out: every form of docs/measurements/taxonomy-candidates-2026-09-24.tsv and every key of src/main/resources/taxonomy/skills.tsv.
# Kept: df >= 3, in the ads of >= 3 companies, written as a name (every word capitalized or
# carrying a digit or symbol) in >= 40% of its mid-sentence occurrences, with a known skill within 6
# words in >= 20% of them, and a phrase holding a name-like word.
# capitalized (written as a name) and near are those shares; each form=N counts a spelling mid-sentence.
df	name	companies	capitalized	near	forms
24	Allianz	4	1.00	0.31	Allianz=35
24	Automation API	17	1.00	1.00	Automation API=2
24	AWS DevOps	16	1.00	0.93	AWS DevOps=14
24	AZ 500	20	1.00	1.00	AZ 500=1
24	Azure Active Directory	19	0.96	0.74	Azure Active Directory=22|Azure Active directory=1
24	Azure Understanding	13	1.00	0.83	Azure Understanding=6
24	Azure Virtual	17	0.92	0.75	Azure Virtual=44|Azure virtual=4
24	Babel	17	1.00	0.56	Babel=34
24	Business Manager	21	1.00	0.46	Business Manager=35
24	C++ Familiarity	16	0.75	0.92	C++ Familiarity=9|C++ familiarity=3
24	Calico	13	1.00	0.65	Calico=37
24	Certifications Certified	13	1.00	0.67	Certifications Certified=6
24	Clay	16	0.91	0.59	Clay=29|clay=3
24	Contentful	19	1.00	0.67	Contentful=27
24	Crashlytics	14	0.96	0.71	Crashlytics=23|crashlytics=1
24	Data Engineer Associate	19	1.00	0.83	Data Engineer Associate=24
24	Data Lake Storage	13	0.91	0.94	Data Lake Storage=32|data lake storage=3
24	Datadog Experience	20	0.80	0.60	Datadog Experience=5|DataDog Experience=3|Datadog experience=2
24	Development Kit	17	0.90	0.39	Development Kit=28|development kit=3
24	DevOps Engineer Expert	19	1.00	1.00	DevOps Engineer Expert=21
24	Docker Compose	18	1.00	0.81	Docker Compose=16
24	Docker Swarm	12	0.92	1.00	Docker Swarm=22|Docker swarm=2
24	DP	13	1.00	0.67	DP=24
24	ECS Lambda	17	1.00	1.00	ECS Lambda=1
24	Engineering 3+	20	0.78	0.56	Engineering 3+=7|engineering 3+=2
24	English Preferred Qualifications	11	1.00	0.50	English Preferred Qualifications=6
24	Espresso	18	0.91	0.39	Espresso=21|espresso=2
24	GitHub Jenkins	16	1.00	1.00	GitHub Jenkins=1
24	HAL	15	1.00	0.24	HAL=45
24	Java 8	16	1.00	0.70	Java 8=20
24	Java Spring Framework	15	1.00	1.00	Java Spring Framework=3
24	Key Responsibilities As	11	1.00	1.00	Key Responsibilities As=1
24	Kubernetes AI	15	1.00	0.80	Kubernetes AI=5
24	Kubernetes Engine	10	1.00	0.76	Kubernetes Engine=25
24	Lake Storage	13	0.91	0.94	Lake Storage=32|lake storage=3
24	MEP	9	1.00	0.22	MEP=32
24	Minimum 5+	23	0.92	0.25	Minimum 5+=11|minimum 5+=1
24	Next.js Experience	19	0.88	0.88	Next.js Experience=15|Next.js experience=2
24	NGFW	17	1.00	0.28	NGFW=32
24	ngrx	9	0.63	1.00	ngrx=10|NgRx=8|ngRx=6|Ngrx=3
24	ni	13	0.44	0.44	ni=14|NI=11
24	ofrecemos	5	0.50	0.25	ofrecemos=4|Ofrecemos=4
24	Preferred Qualifications AWS	14	1.00	0.33	Preferred Qualifications AWS=6
24	PS5	9	1.00	0.21	PS5=28
24	RAM	16	0.96	0.38	RAM=25|ram=1
24	REST APIs Microservices	17	1.00	1.00	REST APIs Microservices=2
24	RPM	15	0.68	0.68	RPM=19|rpm=9
24	RxJava	11	0.96	0.56	RxJava=26|rxjava=1
24	Salesforce experience	20	0.44	0.44	Salesforce experience=10|Salesforce Experience=8
24	SELinux	16	0.97	0.57	SELinux=29|selinux=1
24	Senior Salesforce	19	0.96	0.20	Senior Salesforce=24|senior Salesforce=1
24	ServiceNow Experience	13	0.62	0.38	ServiceNow Experience=5|ServiceNow experience=3
24	Snowflake Cortex	15	1.00	0.48	Snowflake Cortex=23
24	Specific Qualifications	5	0.52	0.29	Specific Qualifications=11|specific qualifications=10
24	Spinnaker	11	0.96	0.67	Spinnaker=26|spinnaker=1
24	SQL Git	11	1.00	1.00	SQL Git=1
24	Storage Azure	17	1.00	1.00	Storage Azure=5
24	Strands	14	0.81	0.52	Strands=25|strands=6
24	Swift Concurrency	16	0.86	0.66	Swift Concurrency=25|Swift concurrency=4
24	System Engineer	16	0.70	0.26	System Engineer=19|system engineer=5|System engineer=3
24	Terraform GitLab	12	1.00	1.00	Terraform GitLab=2
24	Terraform Jenkins	12	1.00	1.00	Terraform Jenkins=3
24	Tools CI	17	0.50	0.50	Tools CI=1|tools CI=1
24	Trainium	7	1.00	0.46	Trainium=39
24	Turborepo	20	0.96	0.61	Turborepo=25|TurboRepo=2|turborepo=1
24	TypeScript Angular	19	1.00	1.00	TypeScript Angular=1
24	TypeScript Hands	15	0.93	1.00	TypeScript Hands=14|Typescript hands=1
24	VCP	16	1.00	0.95	VCP=22
24	Xbox	14	1.00	0.30	Xbox=33
23	Angular Vue.js	17	1.00	1.00	Angular Vue.js=1
23	APIs CI	15	1.00	1.00	APIs CI=2
23	Arbeit	11	1.00	0.23	Arbeit=35
23	AWS Config	18	1.00	0.59	AWS Config=27
23	AWS Solution	4	0.93	0.74	AWS Solution=21|AWS SOLUTION=4|AWS solution=2
23	AWS Solution Architect	4	0.92	0.77	AWS Solution Architect=20|AWS SOLUTION ARCHITECT=4|AWS solution architect=2
23	Azure CLI	17	1.00	1.00	Azure CLI=31
23	Azure Storage	14	0.91	0.83	Azure Storage=21|Azure storage=2
23	Azure Working	16	1.00	1.00	Azure Working=1
23	Basic SQL	15	0.71	0.21	Basic SQL=10|basic SQL=4
23	Be Nice If	3	0.43	0.43	Be Nice If=10|be nice if=6|be Nice if=6|Be Nice if=1
23	C++ developer	13	0.46	0.31	C++ developer=14|C++ Developer=12
23	Certified Kubernetes Security	13	1.00	0.91	Certified Kubernetes Security=23
23	Certified Platform	12	0.93	0.83	Certified Platform=27|certified platform=2
23	Cloud Formation	15	0.78	0.96	Cloud Formation=18|cloud formation=3|Cloud formation=2
23	Computer Related	8	0.67	0.33	Computer Related=2|Computer related=1
23	Cube	17	0.96	0.46	Cube=22|CUBE=1|cube=1
23	Databricks Certified Data	6	1.00	0.50	Databricks Certified Data=6
23	Day 2	13	0.73	0.27	Day 2=8|day 2=3
23	DLT	13	0.66	0.76	DLT=19|dlt=10
23	Docker Helm	18	1.00	1.00	Docker Helm=3
23	DocumentDB	19	1.00	0.93	DocumentDB=29|DocumentDb=1
23	Dynamics CRM	3	1.00	0.88	Dynamics CRM=24
23	Engineer AWS	17	0.86	0.86	Engineer AWS=6|engineer AWS=1
23	Especialista	7	0.71	0.71	Especialista=17|especialista=7
23	Experience Manager	16	1.00	0.57	Experience Manager=37
23	FluxCD	13	1.00	0.79	FluxCD=28
23	GCP Google	10	1.00	1.00	GCP Google=10
23	GCP Vertex	15	1.00	1.00	GCP Vertex=11
23	Heroku	11	1.00	0.91	Heroku=23
23	Infrastruktur	12	1.00	0.26	Infrastruktur=19
23	Java Hands	15	1.00	0.60	Java Hands=5
23	Kafka Docker	18	1.00	1.00	Kafka Docker=1
23	Karriere	7	0.94	0.28	Karriere=17|karriere=1
23	Kubernetes Security Specialist	13	1.00	0.92	Kubernetes Security Specialist=24
23	LACP	16	1.00	0.64	LACP=25
23	Languages C#	16	1.00	1.00	Languages C#=1
23	Linux cloud	17	0.50	0.50	Linux cloud=1|Linux Cloud=1
23	LM	19	0.70	0.30	LM=7|lm=3
23	LTS	6	1.00	0.32	LTS=38
23	Maestro	14	1.00	0.21	Maestro=31|MAESTRO=3
23	Memcache	9	1.00	1.00	Memcache=23
23	Mitarbeiterrabatte	5	1.00	0.35	Mitarbeiterrabatte=23
23	NLB	18	1.00	0.86	NLB=22
23	Node.js MongoDB	8	1.00	1.00	Node.js MongoDB=1
23	Nsight	14	0.93	0.67	Nsight=17|NSight=8|nsight=2
23	Oracle Cloud Infrastructure	16	0.90	0.42	Oracle Cloud Infrastructure=28|Oracle Cloud infrastructure=2|Oracle cloud Infrastructure=1
23	pg	13	0.52	0.24	pg=10|PG=9|Pg=2
23	Pinot	12	1.00	0.55	Pinot=33
23	Polygon	10	0.57	0.22	Polygon=13|polygon=10
23	POSIX	16	1.00	0.68	POSIX=25
23	Python Build	21	1.00	0.44	Python Build=9
23	Radix	11	0.95	0.67	Radix=20|radix=1
23	React GraphQL	15	1.00	1.00	React GraphQL=1
23	React Strong	18	1.00	0.85	React Strong=13
23	Redis AWS	10	1.00	1.00	Redis AWS=4
23	REST APIs JSON	22	1.00	1.00	REST APIs JSON=1
23	Rust PREFERRED	5	0.77	1.00	Rust PREFERRED=9|Rust preferred=2|Rust Preferred=1|rust PREFERRED=1
23	SageMaker Pipelines	9	1.00	1.00	SageMaker Pipelines=20|Sagemaker Pipelines=2
23	Salesforce CPQ	15	1.00	0.54	Salesforce CPQ=39
23	Software Engineer Senior	9	1.00	1.00	Software Engineer Senior=1
23	TanStack Query	18	1.00	0.70	TanStack Query=20
23	Tech Stack Python	18	1.00	1.00	Tech Stack Python=4
23	Tokio	15	0.64	0.76	Tokio=16|tokio=9
23	tRPC	10	0.96	0.96	tRPC=24|TRPC=2|trpc=1
23	v2	18	1.00	0.48	v2=24|V2=3
23	VMware ESXi	13	1.00	0.59	VMware ESXi=16|VMWare ESXi=5|VMware ESXI=1
23	WinDbg	11	1.00	0.82	WinDbg=20|WinDBG=2
22	2500	8	1.00	0.27	2500=22
22	27001 Experience	17	0.83	0.50	27001 Experience=5|27001 experience=1
22	50M Series	4	1.00	0.36	50M Series=22
22	Accessibility WCAG	19	1.00	0.67	Accessibility WCAG=3
22	Alibaba Cloud	10	1.00	0.88	Alibaba Cloud=43
22	Amazon RDS	19	1.00	0.88	Amazon RDS=25
22	AppsFlyer	14	1.00	0.32	AppsFlyer=24|Appsflyer=4
22	Architect AWS	15	1.00	0.78	Architect AWS=9
22	Ausgepr	10	0.50	0.31	Ausgepr=8|ausgepr=8
22	AWS GitHub	13	1.00	1.00	AWS GitHub=3
22	AWS KMS	17	1.00	0.52	AWS KMS=25
22	AWS Organizations	17	0.79	0.58	AWS Organizations=19|AWS organizations=5
22	AWS Redshift	18	1.00	0.87	AWS Redshift=15
22	AWS Snowflake	16	1.00	1.00	AWS Snowflake=1
22	Azure Hands	15	1.00	1.00	Azure Hands=12
22	B1	8	1.00	0.29	B1=17
22	Belvoir	6	1.00	0.20	Belvoir=20
22	BigQuery data	16	0.50	0.45	BigQuery data=10|BigQuery Data=10
22	Bonus Familiarity	17	0.67	0.33	Bonus Familiarity=2|bonus Familiarity=1
22	CA We	10	1.00	1.00	CA We=1
22	Camunda	10	1.00	0.86	Camunda=22
22	Catalog Data	7	0.67	0.76	Catalog Data=14|catalog data=6|Catalog data=1
22	Celigo	13	1.00	0.28	Celigo=60
22	Certifications Microsoft	19	0.67	0.83	Certifications Microsoft=4|certifications Microsoft=2
22	Chromebooks	5	1.00	0.86	Chromebooks=22
22	Cloud Platform BigQuery	12	1.00	0.50	Cloud Platform BigQuery=2
22	CodeDeploy	10	1.00	0.96	CodeDeploy=23
22	Databricks SQL	14	1.00	0.33	Databricks SQL=21
22	Dave	4	1.00	0.87	Dave=15
22	Deutschkenntnisse	12	1.00	0.32	Deutschkenntnisse=19
22	Docker Cloud	16	1.00	1.00	Docker Cloud=5
22	Expert SQL	15	0.55	0.73	Expert SQL=6|expert SQL=5
22	Functions Azure	17	1.00	1.00	Functions Azure=3
22	GCP IAM	16	1.00	0.74	GCP IAM=19
22	Git Familiarity	15	0.86	0.57	Git Familiarity=6|git Familiarity=1
22	Impala	9	1.00	1.00	Impala=24|IMPALA=2
22	JIT	18	1.00	0.24	JIT=33
22	JNCIE	15	1.00	0.26	JNCIE=23
22	Kafka Streams	16	1.00	0.95	Kafka Streams=19
22	Kiro	13	1.00	0.61	Kiro=23
22	Kubernetes Benefits	7	1.00	0.94	Kubernetes Benefits=17
22	Loader	14	0.78	0.57	Loader=18|loader=5
22	MCSE	18	1.00	0.53	MCSE=19
22	Microsoft Azure Administrator	5	1.00	0.95	Microsoft Azure Administrator=22
22	MWAA	17	1.00	0.93	MWAA=28
22	OkHttp	14	1.00	0.68	OkHttp=20|Okhttp=2
22	Oracle NetSuite	9	1.00	0.22	Oracle NetSuite=18
22	Platform BigQuery	12	1.00	0.50	Platform BigQuery=2
22	Playwright Experience	21	0.75	0.62	Playwright Experience=6|Playwright experience=2
22	POS application	4	0.47	0.50	POS application=31|POS Application=27
22	PostgreSQL Familiarity	11	1.00	0.60	PostgreSQL Familiarity=5
22	PX4	10	1.00	0.29	PX4=35
22	Python API	15	1.00	0.80	Python API=5
22	Python Develop	17	1.00	0.50	Python Develop=6
22	Python Flask	14	1.00	0.75	Python Flask=4
22	Python We	18	1.00	1.00	Python We=3
22	Rails Python	11	1.00	1.00	Rails Python=1
22	Salesforce Certified Administrator	5	1.00	1.00	Salesforce Certified Administrator=19
22	SAP Business	15	0.93	0.80	SAP Business=28|SAP business=2
22	SAP Salesforce	10	1.00	1.00	SAP Salesforce=1
22	Scaled Agile Framework	10	1.00	0.40	Scaled Agile Framework=20
22	Security Engineer Associate	18	1.00	1.00	Security Engineer Associate=22
22	Solid SQL	21	0.62	0.62	Solid SQL=8|solid SQL=5
22	SPIFFE	13	1.00	0.22	SPIFFE=23
22	SQL Comfortable	14	1.00	1.00	SQL Comfortable=2
22	STM32	15	1.00	0.35	STM32=20
22	SuiteScript	14	1.00	0.67	SuiteScript=39
22	SysOps	17	1.00	0.86	SysOps=22
22	Tiger Global	4	1.00	0.27	Tiger Global=22
22	Traefik	9	1.00	0.90	Traefik=20
22	vCenter	20	1.00	0.96	vCenter=24|Vcenter=1|VCenter=1
22	VIP	17	1.00	0.42	VIP=26
22	Vue Experience	15	1.00	1.00	Vue Experience=7
22	XLA	12	1.00	0.63	XLA=27
22	York Metro Area	4	0.64	0.23	York Metro Area=14|York Metro area=8
22	You Bring Solid	12	0.88	0.31	You Bring Solid=12|YOU BRING Solid=2|You bring solid=1|you bring Solid=1
21	10M	4	1.00	0.20	10M=20
21	18+	20	1.00	0.31	18+=16
21	Actions Familiarity	16	0.60	0.80	Actions Familiarity=3|actions Familiarity=2
21	ANSI	13	1.00	0.29	ANSI=24
21	Apache Hudi	12	1.00	0.70	Apache Hudi=23
21	APIs A	15	0.78	0.22	APIs A=7|APIs a=2
21	APIs Knowledge	14	1.00	0.31	APIs Knowledge=13
21	are Proven	14	0.40	0.27	are Proven=6|ARE Proven=5|are proven=3|Are Proven=1
21	Atlassian Tool	4	0.95	0.77	Atlassian Tool=21|Atlassian tool=1
21	AWS Aurora RDS	4	1.00	1.00	AWS Aurora RDS=18
21	AWS Collaborate	7	1.00	0.50	AWS Collaborate=8
21	AWS Proficiency	13	1.00	1.00	AWS Proficiency=1
21	AWS This	15	1.00	1.00	AWS This=3
21	Azure AI Engineer	16	1.00	0.75	Azure AI Engineer=12
21	Azure Fundamentals	17	0.64	0.43	Azure Fundamentals=9|Azure fundamentals=5
21	Azure knowledge	17	0.40	0.60	Azure knowledge=3|Azure Knowledge=2
21	Azure Microsoft	16	1.00	1.00	Azure Microsoft=4
21	Bring Senior	10	0.60	0.20	Bring Senior=12|bring senior=7|bring Senior=1
21	C++ Hands	8	1.00	1.00	C++ Hands=9
21	CD Strong	18	1.00	0.50	CD Strong=4
21	Certified Practitioner	12	1.00	0.38	Certified Practitioner=21
21	Cloudera	8	1.00	0.84	Cloudera=25
21	Confluent	16	1.00	0.90	Confluent=20
21	Context API	17	0.90	1.00	Context API=19|context API=2
21	Control Tower	17	1.00	0.75	Control Tower=28
21	Core .NET	16	1.00	0.50	Core .NET=2
21	Customer.io	7	1.00	0.24	Customer.io=63|customer.io=11
21	FW	13	1.00	0.24	FW=25
21	GCP Vertex AI	13	1.00	1.00	GCP Vertex AI=8
21	GitHub Experience	15	1.00	0.67	GitHub Experience=9
21	Google Kubernetes	9	1.00	0.76	Google Kubernetes=21
21	Grundlage	7	1.00	0.33	Grundlage=21
21	H.264	15	1.00	0.22	H.264=23
21	Helm Experience	19	0.83	1.00	Helm Experience=5|Helm experience=1
21	Hilt	15	1.00	0.33	Hilt=21
21	IAM experience	19	0.43	0.29	IAM experience=4|IAM Experience=3
21	integrate LLM	17	0.44	0.25	integrate LLM=9|Integrate LLM=7
21	ion	12	0.47	0.29	ion=9|ION=6|Ion=2
21	ISO 27001 Experience	16	0.83	0.50	ISO 27001 Experience=5|ISO 27001 experience=1
21	K3s	15	1.00	0.91	K3s=14|k3s=5|K3S=4
21	LLM Platform	11	0.57	0.29	LLM Platform=12|LLM platform=9
21	Management Azure	16	0.78	0.22	Management Azure=7|management azure=1|management Azure=1
21	Microservices AWS	9	1.00	1.00	Microservices AWS=1
21	MIPS	9	1.00	0.43	MIPS=21
21	NFC	12	1.00	0.21	NFC=29
21	On Architect	18	1.00	0.33	On Architect=3
21	Oracle ERP	13	1.00	0.23	Oracle ERP=39
21	own ML	12	0.40	0.25	own ML=12|Own ML=8
21	Pendo	8	1.00	0.26	Pendo=50
21	Perspektiven	5	1.00	0.30	Perspektiven=20
21	Postgres SQL	17	1.00	1.00	Postgres SQL=2|PostGres SQL=1
21	PostgreSQL AWS	18	1.00	1.00	PostgreSQL AWS=3
21	PREFERRED QUALIFICATIONS MS	9	0.94	0.38	PREFERRED QUALIFICATIONS MS=12|Preferred Qualifications MS=3|Preferred qualifications MS=1
21	Programming Languages Go	10	1.00	1.00	Programming Languages Go=1
21	Prometheus +	5	1.00	0.50	Prometheus +=6
21	promptfoo	14	0.43	0.26	promptfoo=13|PromptFoo=6|Promptfoo=4
21	PromQL	14	1.00	0.59	PromQL=20|promQL=2
21	Redis Docker	12	1.00	1.00	Redis Docker=1
21	Replit	11	1.00	0.33	Replit=24
21	Required Experience 5+	15	0.67	0.33	Required Experience 5+=2|Required experience 5+=1
21	REST APIs SQL	13	1.00	1.00	REST APIs SQL=3
21	Rust Proficiency	10	0.75	0.75	Rust Proficiency=12|Rust proficiency=4
21	Salesforce Flow	9	1.00	0.68	Salesforce Flow=22
21	Sanofi	4	1.00	0.67	Sanofi=21
21	SQL AWS	14	1.00	1.00	SQL AWS=1
21	SQL Hands	18	1.00	1.00	SQL Hands=5
21	Systemen	13	0.95	0.50	Systemen=19|systemen=1
21	Tableau Experience	18	0.67	0.67	Tableau Experience=2|Tableau experience=1
21	TC	11	0.50	0.50	TC=9|tc=9
21	Tech Stack AWS	10	0.82	0.91	Tech Stack AWS=9|tech stack AWS=2
21	Teradata	10	1.00	0.92	Teradata=24
21	Testing Postman	15	1.00	1.00	Testing Postman=2
21	Toyota	4	1.00	0.33	Toyota=21
21	TRL	11	1.00	0.47	TRL=17
21	TypeScript Backend	14	0.71	1.00	TypeScript Backend=10|TypeScript backend=4
20	+ Grafana	4	1.00	1.00	+ Grafana=39
20	.NET 10	10	1.00	0.91	.NET 10=18|.Net 10=4
20	10M+	8	1.00	0.20	10M+=20
20	271	10	1.00	0.33	271=3
20	APIs Proficiency	18	1.00	0.71	APIs Proficiency=7
20	Arista EOS	13	1.00	0.53	Arista EOS=19
20	Atlassian Jira	17	1.00	0.55	Atlassian Jira=8|Atlassian JIRA=3
20	Atlassian Tool Suite	3	1.00	0.81	Atlassian Tool Suite=21
20	Autodesk	9	1.00	0.23	Autodesk=22
20	AWS a	14	0.40	0.50	AWS a=6|AWS A=4
20	AWS API	11	1.00	0.24	AWS API=17
20	Azure AKS	12	1.00	1.00	Azure AKS=10
20	Azure Azure	13	1.00	1.00	Azure Azure=3
20	Balancing DNS	13	1.00	1.00	Balancing DNS=1
20	BNPL	5	1.00	0.32	BNPL=28
20	C++11	15	1.00	0.95	C++11=20
20	Certified Platform Developer	10	1.00	0.87	Certified Platform Developer=23
20	CFS	8	1.00	0.29	CFS=13|cFS=8
20	Company Summary	6	1.00	0.29	Company Summary=7
20	Confluence Experience	17	1.00	1.00	Confluence Experience=11
20	Dataform	17	0.91	0.88	Dataform=30|dataform=3
20	EFK	9	1.00	0.75	EFK=20
20	Elementary	14	0.50	0.35	Elementary=13|elementary=13
20	Entscheidungen	8	1.00	0.33	Entscheidungen=21
20	Experience React	17	0.60	0.60	Experience React=2|experience React=2|EXPERIENCE React=1
20	Fluentd	9	0.68	0.86	Fluentd=11|fluentd=7|FluentD=4
20	Fondamentaux	5	0.60	0.35	Fondamentaux=12|fondamentaux=8
20	For Ph.D	6	0.59	0.24	For Ph.D=10|for Ph.D=7
20	FOSS	8	1.00	0.29	FOSS=24
20	Go What	12	1.00	1.00	Go What=6
20	Google Kubernetes Engine	8	1.00	0.76	Google Kubernetes Engine=21
20	HTTP APIs	15	1.00	0.50	HTTP APIs=18
20	IT DevOps	10	1.00	0.67	IT DevOps=3
20	Java 8+	13	1.00	0.77	Java 8+=13
20	Java AWS	12	1.00	1.00	Java AWS=1
20	Job Responsibilities Design	11	1.00	0.20	Job Responsibilities Design=5
20	Kaggle	14	1.00	0.38	Kaggle=13
20	Karrierem	3	1.00	0.58	Karrierem=24
20	KServe	14	1.00	0.62	KServe=24
20	Kubernetes Proven	15	1.00	1.00	Kubernetes Proven=7
20	Lightning components	13	0.45	0.77	Lightning components=11|Lightning Components=10|lightning components=1
20	Linux expertise	15	0.42	0.67	Linux expertise=7|Linux Expertise=5
20	Linux Git	11	1.00	1.00	Linux Git=2
20	Load Balancing DNS	13	1.00	1.00	Load Balancing DNS=1
20	Micronaut	7	1.00	0.75	Micronaut=24
20	Microsoft Azure Experience	18	0.80	1.00	Microsoft Azure Experience=3|Microsoft Azure EXPERIENCE=1|Microsoft Azure experience=1
20	Microsoft Graph API	13	1.00	0.68	Microsoft Graph API=22
20	multiplexing	7	0.48	0.39	multiplexing=12|Multiplexing=11
20	MVI	15	1.00	0.50	MVI=22
20	NER	16	0.62	0.24	NER=13|ner=8
20	Network Associate	13	1.00	0.25	Network Associate=20
20	NoSQL Experience	17	0.80	1.00	NoSQL Experience=4|NoSQL experience=1
20	O365	14	1.00	0.73	O365=22
20	OpenVPN	11	1.00	0.85	OpenVPN=20
20	Orca	14	1.00	0.25	Orca=17|ORCA=3
20	Our Engineering Manager	6	0.60	0.35	Our Engineering Manager=12|our Engineering Manager=8
20	Post Purchase	13	0.75	0.25	Post Purchase=3|post purchase=1
20	Power BI Experience	16	0.50	0.67	Power BI Experience=3|Power BI experience=3
20	Processing Spark	12	1.00	1.00	Processing Spark=4
20	Prometheus + Grafana	4	1.00	0.60	Prometheus + Grafana=5
20	Prometheus Experience	12	1.00	0.67	Prometheus Experience=3
20	Pyroscope	4	1.00	0.29	Pyroscope=24
20	Ray Serve	13	1.00	0.40	Ray Serve=20
20	REST Experience	15	0.67	0.67	REST Experience=4|rest Experience=1|REST experience=1
20	RKE2	10	1.00	0.96	RKE2=24
20	Salesforce CRM	15	1.00	0.32	Salesforce CRM=19
20	Science Technical	6	1.00	0.50	Science Technical=2
20	SDKs Experience	13	1.00	0.50	SDKs Experience=4
20	Security Solid	14	0.56	0.67	Security Solid=5|security Solid=4
20	Skills AWS	15	0.75	0.38	Skills AWS=6|skills AWS=2
20	Solution Architect Certification	4	0.85	0.85	Solution Architect Certification=17|Solution Architect certification=3
20	SonarCloud	8	1.00	1.00	SonarCloud=10|Sonarcloud=10
20	SQL Azure	15	1.00	1.00	SQL Azure=2
20	SRX	14	1.00	0.29	SRX=21
20	Statement All	4	1.00	0.40	Statement All=10
20	Statistics Applied Mathematics	14	1.00	1.00	Statistics Applied Mathematics=1
20	Suricata	13	0.95	0.86	Suricata=20|suricata=1|SURICATA=1
20	Tecton	10	1.00	0.70	Tecton=20
20	Terraform Proficiency	14	0.54	0.85	Terraform Proficiency=7|Terraform proficiency=6
20	TypeScript AWS	13	1.00	1.00	TypeScript AWS=3|Typescript AWS=1
20	TypeScript Solid	17	1.00	1.00	TypeScript Solid=6
20	Veeam Backup	7	0.72	0.60	Veeam Backup=17|Veeam backup=7|VEEAM Backup=1
20	Veeva	13	1.00	0.54	Veeva=35
20	WebRTC Experience	11	0.90	0.60	WebRTC Experience=9|WebRTC experience=1
20	Zanzibar	10	1.00	0.42	Zanzibar=19
19	5th	9	1.00	0.26	5th=19
19	AI Engineer Associate	14	1.00	1.00	AI Engineer Associate=19
19	Airflow Strong	9	1.00	1.00	Airflow Strong=8
19	Ansible Docker	13	1.00	1.00	Ansible Docker=3
19	Apigee	14	1.00	0.34	Apigee=43|APIGEE=1
19	AppExchange	10	1.00	0.60	AppExchange=20
19	Associate AWS	11	1.00	1.00	Associate AWS=5
19	atouts	14	0.40	0.20	atouts=3|Atouts=2
19	AWS +	10	1.00	0.78	AWS +=18
19	AWS Databricks	17	1.00	0.50	AWS Databricks=1|AWS DataBricks=1
19	AWS Proven	13	1.00	1.00	AWS Proven=1
19	Azure Database	14	0.93	0.93	Azure Database=14|Azure database=1
19	Azure Demonstrated	10	1.00	1.00	Azure Demonstrated=1
19	Azure Native	14	0.62	0.50	Azure Native=5|Azure native=3
19	Azure Proficiency	13	1.00	1.00	Azure Proficiency=2
19	Bash Familiarity	16	1.00	1.00	Bash Familiarity=5
19	Betrieb	9	1.00	0.25	Betrieb=40
19	C++14	13	1.00	0.95	C++14=19
19	Certified Network Associate	12	1.00	0.26	Certified Network Associate=19
19	Cloud Platform Engineer	12	1.00	0.23	Cloud Platform Engineer=22
19	Cloud Pub	6	1.00	1.00	Cloud Pub=22
19	Computer Vision Experience	11	0.43	0.43	Computer Vision Experience=3|computer vision Experience=2|computer vision experience=2
19	containerd	14	0.50	1.00	containerd=9|Containerd=9
19	CSPs	11	1.00	0.35	CSPs=26
19	CWE	15	1.00	0.29	CWE=21
19	DCIM	10	1.00	0.25	DCIM=24
19	Demonstrated High	12	0.56	0.22	Demonstrated High=5|Demonstrated high=3|demonstrated high=1
19	Development 5+	12	0.56	0.56	Development 5+=5|development 5+=4
19	Development DevOps	15	0.50	0.50	Development DevOps=1|development DevOps=1
19	Docker Strong	14	1.00	0.33	Docker Strong=3
19	DSL	15	1.00	0.64	DSL=28
19	DynamoDB Experience	15	0.83	1.00	DynamoDB Experience=5|DynamoDB experience=1
19	Elastic Cloud	6	1.00	0.52	Elastic Cloud=27
19	Ethernet Experience	9	1.00	0.50	Ethernet Experience=6
19	Experience Azure	17	1.00	0.67	Experience Azure=3
19	forests	12	0.40	0.30	forests=12|Forests=8
19	FTP	17	1.00	0.70	FTP=20
19	Gruppe	5	0.94	0.61	Gruppe=17|gruppe=1
19	GWAPT	15	1.00	0.28	GWAPT=18
19	Infrastructure Solid	15	0.67	0.67	Infrastructure Solid=4|infrastructure Solid=2
19	Iron	13	0.75	0.29	Iron=18|iron=6
19	Java Nice	3	1.00	1.00	Java Nice=18
19	Kubernetes Build	13	1.00	0.75	Kubernetes Build=8
19	Kubernetes Solid	15	1.00	1.00	Kubernetes Solid=4
19	Kubernetes What	14	1.00	1.00	Kubernetes What=5
19	Linux Engineer	15	0.80	0.45	Linux Engineer=16|Linux engineer=4
19	Lucidchart	12	1.00	0.50	Lucidchart=13|LucidChart=3
19	Makefiles	5	0.95	0.74	Makefiles=18|makefiles=1
19	Meade	5	1.00	0.20	Meade=15
19	Mehrwert	6	1.00	0.80	Mehrwert=20
19	Microsoft identity	14	0.47	0.47	Microsoft identity=8|Microsoft Identity=7
19	Microsoft Office applications	12	0.42	0.47	Microsoft Office applications=10|Microsoft Office Applications=8|Microsoft office applications=1
19	ML governance	5	0.50	0.60	ML governance=5|ML Governance=5
19	Mobile Ios	13	0.83	0.83	Mobile Ios=4|Mobile iOS=1|mobile iOS=1
19	MS Azure	11	0.96	0.92	MS Azure=23|MS azure=1
