# Skill names mined from the corpus (issue #40), written by scripts/taxonomy_mine.py.
# Corpus: the 26587 IN descriptions of the development database, newest vacancy update 2026-09-20.
# Left out: every form of docs/measurements/taxonomy-candidates-2026-09-24.tsv and every key of src/main/resources/taxonomy/skills.tsv.
# Kept: df >= 3, in the ads of >= 3 companies, written as a name (every word capitalized or
# carrying a digit or symbol) in >= 40% of its mid-sentence occurrences, with a known skill within 6
# words in >= 20% of them, and a phrase holding a name-like word.
# capitalized (written as a name) and near are those shares; each form=N counts a spelling mid-sentence.
df	name	companies	capitalized	near	forms
519	Strong Python	292	0.73	0.47	Strong Python=186|strong Python=69
510	Fortune 100	35	1.00	0.48	Fortune 100=552
498	Studio	219	0.68	0.29	Studio=515|studio=238
495	Google Cloud Platform	225	1.00	0.75	Google Cloud Platform=547|Google Cloud platform=1|google cloud platform=1
494	ARM	178	0.70	0.35	ARM=384|arm=170|Arm=18
489	Okta	210	1.00	0.25	Okta=1190|OKTA=15
483	TypeScript React	212	1.00	0.29	TypeScript React=16|Typescript React=1
480	1+	182	1.00	0.33	1+=442
473	DevOps Engineer	256	0.94	0.29	DevOps Engineer=566|DevOps engineer=36|Devops Engineer=6|devops engineer=3
471	RBAC	275	1.00	0.29	RBAC=574
471	SDK	234	1.00	0.31	SDK=740
466	Extension	117	0.67	0.38	Extension=501|extension=243
461	Kubernetes Experience	229	0.63	0.67	Kubernetes Experience=137|Kubernetes experience=82
458	OpenTelemetry	235	1.00	0.65	OpenTelemetry=568|Opentelemetry=1
454	365	262	1.00	0.57	365=793
452	Cisco	186	1.00	0.26	Cisco=683|CISCO=7|cisco=2
446	ArgoCD	221	1.00	0.84	ArgoCD=532|Argocd=3
444	React TypeScript	246	1.00	1.00	React TypeScript=1
442	LangGraph	236	1.00	0.25	LangGraph=507|Langgraph=7
434	SSO	278	1.00	0.38	SSO=573
429	Azure DevOps	201	1.00	0.83	Azure DevOps=540|Azure Devops=18|azure DevOps=2|Azure DEVOPS=1
429	Playwright	265	0.99	0.78	Playwright=551|playwright=6|PlayWright=1
423	NVIDIA	115	0.99	0.39	NVIDIA=518|Nvidia=64|nvidia=3|NVidia=2
419	e.g AWS	203	1.00	1.00	e.g AWS=3
417	Security+	166	1.00	0.28	Security+=354|security+=1
416	Pro	179	0.75	0.23	Pro=321|pro=141|PRO=91
412	HTML CSS	232	1.00	1.00	HTML CSS=1
408	Splunk	203	0.99	0.55	Splunk=456|splunk=4|SPLUNK=2
403	Directory	231	0.88	0.55	Directory=592|directory=83
393	Delta	168	0.87	0.56	Delta=456|delta=67
393	Intermediate	153	0.56	0.22	Intermediate=159|intermediate=126
393	Python SQL	198	1.00	1.00	Python SQL=9
393	VPC	237	1.00	0.73	VPC=458|vPC=2
387	Terraform Ansible	156	1.00	1.00	Terraform Ansible=2
385	Cloud AWS	137	0.71	0.71	Cloud AWS=12|cloud AWS=5
383	Key Responsibilities Design	180	0.95	0.37	Key Responsibilities Design=18|Key responsibilities Design=1
380	Looker	204	1.00	0.72	Looker=443
371	SQS	193	1.00	0.96	SQS=423|sqs=1
369	Java Python	178	0.95	1.00	Java Python=20|Java python=1
368	Vertex	137	0.99	0.60	Vertex=429|vertex=5
364	CloudWatch	201	1.00	0.82	CloudWatch=408|Cloudwatch=21
363	Job Summary	100	0.72	0.20	Job Summary=57|Job summary=25|JOB SUMMARY=8
363	OIDC	182	1.00	0.72	OIDC=448
360	PyTorch TensorFlow	172	1.00	1.00	PyTorch TensorFlow=2
355	Bedrock	191	0.95	0.75	Bedrock=481|bedrock=25
354	ELK	174	1.00	0.83	ELK=399|Elk=2
353	Amsterdam	41	1.00	0.47	Amsterdam=394
351	TLS	156	1.00	0.60	TLS=399|TLs=7|tls=1
350	AWS Google	66	1.00	1.00	AWS Google=17
346	Infrastructure AWS	207	0.83	1.00	Infrastructure AWS=10|infrastructure AWS=2
342	OWASP	199	1.00	0.22	OWASP=375
342	Temporal	155	0.79	0.56	Temporal=309|temporal=82
342	Vault	187	0.90	0.56	Vault=405|vault=44
339	Strong SQL	218	0.76	0.60	Strong SQL=130|strong SQL=42
338	Entra	230	0.98	0.65	Entra=595|entra=12
336	AWS Kubernetes	124	1.00	0.86	AWS Kubernetes=7
334	Kubernetes Docker	165	1.00	0.80	Kubernetes Docker=5
332	Java Spring	134	1.00	0.70	Java Spring=27
330	Vertex AI	119	1.00	0.62	Vertex AI=380
322	17	104	1.00	0.33	17=282
320	CLI	168	1.00	0.49	CLI=392|cli=1
319	AWS Google Cloud	57	1.00	1.00	AWS Google Cloud=17
319	Services APIs	197	1.00	0.50	Services APIs=4
316	AWS experience	195	0.43	0.63	AWS experience=92|AWS Experience=69
316	data lake	154	0.42	0.43	data lake=229|Data Lake=171|Data lake=8
315	Fabric	164	0.60	0.38	Fabric=338|fabric=229
309	Flink	151	1.00	0.92	Flink=390|flink=1
